Date,Part,Description,Branch,StartCount,EndCount,Difference,Variance,Planner 
3/26/2025,082458P62T     ,22 1/8 X 6 1/4- 5/8 P62 TEMP  ,West Fargo,9,0,-9,-100.00%,01LTEA  
3/26/2025,1502S          ,3 3/4IN STNRY CONE            ,Eden Prarie,1772,572,-1200,-67.72%,02SPRA  
3/26/2025,40660046LNC    ,406X6X46 LHW NO CONES         ,SpringField,25,11,-14,-56.00%,03SPRA  
3/26/2025,SPTAGW         ,SPRING TAGS WIRED             ,SpringField,7231,3650,-3581,-49.52%,03SPRA  
3/26/2025,36260030LNC    ,362X6X30 LHW NO CONES         ,SpringField,30,24,-6,-20.00%,03SPRA  
3/26/2025,37560045RNC    ,375X6X45 RHW NO CONES         ,SpringField,31,26,-5,-16.13%,03SPRA  
3/26/2025,37560045LNC    ,375X6X45 LHW NO CONES         ,SpringField,34,29,-5,-14.71%,03SPRA  
3/26/2025,P603WL         ,6IN WINDING CONE BLACK        ,SpringField,1351,1200,-151,-11.18%,03SPRA  
3/26/2025,37533465LNC    ,375X3 3/4X65 LHW NO CONES     ,SpringField,32,29,-3,-9.38%,03SPRA  
3/26/2025,36260041RNC    ,362X6X41 RHW NO CONES         ,SpringField,36,33,-3,-8.33%,03SPRA  
3/26/2025,37533465RNC    ,375X3 3/4X65 RHW NO CONES     ,SpringField,33,31,-2,-6.06%,03SPRA  
3/26/2025,34360039RNC    ,343X6X39 RHW NO CONES         ,SpringField,33,32,-1,-3.03%,03SPRA  
3/26/2025,P603WR         ,6IN WINDING CONE RED          ,SpringField,1071,1040,-31,-2.89%,03SPRA  
3/26/2025,1502WR         ,3 3/4IN WINDING CONE RED      ,Eden Prarie,471,459,-12,-2.55%,02SPRA  
3/26/2025,1501S          ,2 5/8IN STATIONARY CONE       ,Eden Prarie,1158,1134,-24,-2.07%,02SPRA  
3/26/2025,36233452LNC    ,362X3 3/4X52 LHW NO CONES     ,SpringField,56,55,-1,-1.79%,03SPRA  
3/26/2025,P603WR125      ,6IN WINDING CONE RED 1 1/4IN  ,SpringField,303,300,-3,-0.99%,03SPRA  
3/26/2025,P603WL125      ,6IN WINDING CONE BLACK 1 1/4IN,SpringField,424,420,-4,-0.94%,03SPRA  
3/26/2025,0624FACESAND   ,0624 SANDTONE FACE FRAME      ,West Fargo,154,153,-1,-0.65%,01LTEA  
3/26/2025,74112,39 X 5 1/16   1/2IN     CLEAR ,West Fargo,409,408,-1,-0.24%,01LTEA  
3/26/2025,78VC7S         ,7FT VC SGL TRACK SET - 12IN R ,West Fargo,373,374,1,0.27%,01TRKA  
3/26/2025,78T8015D       ,8FT DBL TRACK SET - 15IN R    ,West Fargo,274,275,1,0.36%,01TRKA  
3/26/2025,78T7015S       ,7FT SGL TRACK SET - 15IN R    ,West Fargo,352,354,2,0.57%,01TRKA  
3/26/2025,78T8010S       ,8FT SGL TRACK SET - 10IN R    ,West Fargo,350,352,2,0.57%,01TRKA  
3/26/2025,78T7015D       ,7FT DBL TRACK SET - 15IN R    ,West Fargo,321,323,2,0.62%,01TRKA  
3/26/2025,1502WL         ,3 3/4IN WINDING CONE BLK      ,Eden Prarie,452,459,7,1.55%,02SPRA  
3/26/2025,0824FACECOFFEE ,0824 COFFEE ES/TG FACE FRAME  ,West Fargo,56,57,1,1.79%,01LTEA  
3/26/2025,38X1SKHDCP     ,3/8-16 X 1 SOCKET HEAD SCREWS ,SpringField,622,700,78,12.54%,03SPRA  
3/26/2025,34360047RNC    ,343X6X47 RHW NO CONES         ,SpringField,6,7,1,16.67%,03SPRA  
3/26/2025,0741WSBFO200   ,LANDSCAPE BACK FRAME 1/2IN    ,West Fargo,2140,2620,480,22.43%,01LTEA  
3/26/2025,82458,24X7  5/8IN (22 1/8 X 6 1/4)  ,West Fargo,147,347,200,136.05%,01LTEA  
3/26/2025,1401A076       ,1IN X 7FT 6IN SOLID SHAFT     ,West Fargo,824,832,8,0.97%,01SHPA  
3/26/2025,1401A086       ,1IN X 8FT 6IN SOLID SHAFT     ,West Fargo,1261,1209,-52,-4.12%,01SHPA  
3/26/2025,1402A10        ,10FT TUBE SHAFT RESI          ,West Fargo,1520,1541,21,1.38%,01SHPA  
3/26/2025,1402A11        ,11FT TUBE SHAFT RESI          ,West Fargo,931,951,20,2.15%,01SHPA  
3/26/2025,1402A17        ,17FT TUBE SHAFT RESI          ,West Fargo,1845,1864,19,1.03%,01SHPA  
3/26/2025,1402B11        ,11FT TUBE SHAFT COMM          ,West Fargo,739,750,11,1.49%,01SHPA  
3/26/2025,1402B13        ,13FT TUBE SHAFT COMM          ,West Fargo,868,883,15,1.73%,01SHPA  
3/26/2025,1402B15        ,15FT TUBE SHAFT COMM          ,West Fargo,472,476,4,0.85%,01SHPA  
3/26/2025,1402B17        ,17FT TUBE SHAFT COMM          ,West Fargo,337,341,4,1.19%,01SHPA  
3/26/2025,1402B19        ,19FT TUBE SHAFT COMM          ,West Fargo,379,383,4,1.06%,01SHPA  
3/26/2025,1506,18IN RESI WINDING BAR 1/2X7/16,West Fargo,4,6,2,50.00%,01SHPA  
3/26/2025,1507,24IN COM WINDING BAR 5/8X9/16 ,West Fargo,19,21,2,10.53%,01SHPA  
3/26/2025,1702A09        ,9FT X 2IN STRUT               ,West Fargo,474,489,15,3.16%,01SHPA  
3/26/2025,1702A10        ,10FT X 2IN STRUT              ,West Fargo,410,443,33,8.05%,01SHPA  
3/26/2025,1702A12        ,12FT X 2IN STRUT              ,West Fargo,452,487,35,7.74%,01SHPA  
3/26/2025,1702A14        ,14FT X 2IN STRUT              ,West Fargo,632,648,16,2.53%,01SHPA  
