Part,Eden Prarie,SpringField,West Fargo
1001002BAG     ,-3000.00%,-100.00%,-173.17%
1001004BAG     ,-0.22%,483.33%,-53.68%
1004005BAG     ,-76.74%,-100.00%,0.53%
1004020BAG     ,-1.52%,2402.86%,339.81%
1004A005BAG    ,-792.68%,-100.00%,-0.04%
1004A006BAG    ,2.50%,17.82%,0.11%
1004A008BAG    ,2.15%,-5.30%,30.30%
1004A010BAG    ,-0.09%,-19.39%,2.49%
1004A012BAG    ,-0.43%,-24.61%,-0.27%
1004A020BAG    ,0.39%,35.51%,0.20%
1004A030BAG    ,15.11%,-69.48%,-0.55%
1004A040BAG    ,1.23%,-100.00%,-6.52%
1004A050BAG    ,-9.29%,-100.00%,0.30%
100A           ,2.38%,-2.84%,935.86%
101,-5.20%,14.29%,25.09%
1015,10.67%,-4.65%,-1.97%
1031ASN        ,-34.21%,0.88%,0.41%
1033,-100.00%,2.08%,42.11%
1034,1.31%,-0.50%,-0.10%
1035,-73.79%,-55.09%,2.57%
1035B          ,-21.50%,-8.26%,-0.04%
1039,650.00%,-20.77%,-5.02%
1045C          ,-52.43%,-39.64%,-2.97%
1050,-100.00%,-100.00%,-6.33%
1051B          ,-36.15%,80.41%,-9.45%
1051C          ,2.03%,53.85%,-2.08%
1051EE         ,16.38%,166.85%,-0.20%
106,10.32%,0.37%,88.57%
1061MW         ,-0.14%,4.09%,-0.35%
107,-63.51%,-34.62%,-25.92%
1105,-35.19%,-6.67%,-20.25%
113,5.00%,0.51%,4.83%
114,265.23%,0.71%,70.06%
116,169.30%,32.11%,25.83%
1200C          ,-100.00%,114.71%,4.17%
1203,0.29%,6.15%,1.99%
1207,67.32%,8.16%,1.85%
1208,139.73%,61.12%,-12139.47%
1209,1.68%,4.28%,-4.65%
1210,-25.16%,-27.51%,-6.49%
1300,18.46%,-89.11%,-4.62%
1301,223.87%,2.67%,-0.52%
1305,219.92%,2.11%,0.78%
1400A          ,11.26%,309.07%,-10.62%
1400B          ,-0.62%,-8.02%,2.66%
1400K          ,28.87%,-99.87%,0.54%
1401A076       ,-0.96%,2.29%,0.97%
1401A086       ,-2.11%,4.48%,-4.12%
1402A10        ,0.26%,2.59%,1.38%
1402A11        ,0.32%,-6.61%,2.15%
1402A17        ,3.15%,0.08%,1.03%
1402B17        ,0.21%,-2.93%,1.19%
1402B19        ,0.25%,-3.46%,1.06%
1419FACEWHITE  ,0.63%,-49.51%,-5.83%
1419SAINS001   ,15.79%,72.13%,0.95%
1419WHINS008   ,-7.69%,2.63%,9.52%
144158,-70.00%,-100.00%,-25.00%
1500S          ,6.93%,-6.98%,-74.07%
1500WL         ,-28.89%,0.04%,-3.08%
1501S          ,-2.07%,-13.87%,2.40%
1501WL         ,-23.09%,-67.45%,2.74%
1501WR         ,-17.49%,-52.06%,0.64%
1502S          ,-67.72%,188.06%,-7.69%
1503S          ,-4.64%,-12.58%,-3.33%
1702A09        ,2.90%,-6.55%,3.16%
1702A10        ,2.21%,-7.68%,8.05%
1702A14        ,-4.04%,-43.38%,2.53%
1702A16        ,-3.66%,-6.64%,4.13%
1702B16        ,0.72%,42.00%,17.50%
1702B18        ,1.44%,310.00%,8.48%
1702B20        ,-6.70%,-25.00%,4.71%
1703A26RAW     ,-9.52%,28.57%,-7.35%
1703B22RAW     ,-2.70%,137.93%,-1.02%
1703B24RAW     ,1.30%,-18.97%,2.15%
1703B26RAW     ,3.33%,66.67%,8.80%
174334,5.32%,-4.80%,0.43%
174358,-2.93%,8.23%,-3.39%
174358T        ,-4.76%,-14.29%,2.17%
1743COINS003   ,32.00%,-0.81%,-0.78%
1743FACESAND   ,248.00%,-2.95%,1.67%
1743FACEWHITE  ,1.24%,-6.73%,-0.65%
1743WHINS003   ,-93.78%,2.39%,-1.12%
2.10E+10,-5.33%,-1.79%,-3.40%
2.10E+19,-1.39%,0.97%,16.04%
200L           ,-16.91%,0.29%,1.71%
200R           ,-16.91%,0.30%,-1.91%
201L           ,56.60%,-28.08%,-3.12%
201R           ,56.60%,-4.61%,5.42%
204L           ,0.46%,-33.14%,0.33%
204R           ,0.46%,-36.64%,0.33%
207A           ,-100.00%,-100.00%,16.67%
2100A07        ,-0.10%,1.74%,4.83%
2100A10        ,-0.20%,0.39%,24.92%
2100A12        ,-0.49%,13.37%,38.94%
2100A14        ,0.35%,1.75%,18.09%
2100A16        ,0.28%,1.66%,13.10%
2100B07        ,-20.13%,4.88%,1.08%
2100D07        ,11.76%,160.00%,-2.12%
2100D08        ,-4.17%,-7.14%,7.97%
2100D10        ,-3.28%,27.78%,0.93%
2100D16        ,1.49%,1.96%,22.86%
2100F07        ,-53.04%,38.46%,6.35%
2100G07        ,-3.51%,2.22%,38.46%
2100G08        ,-3.70%,-5.62%,107.14%
2100G16        ,-33.33%,-7.41%,17.07%
2100H07        ,1.90%,5.66%,2.87%
2100H09        ,-1.06%,-2.78%,5.63%
2100H10        ,1.75%,-6.45%,-6.67%
2100I16        ,-22.22%,-16.32%,-100.00%
2100K09        ,3.13%,-9.52%,-0.15%
2100K10        ,-2.94%,-252.63%,1.10%
2100K12        ,-25.25%,-16.99%,-4.97%
2100K16        ,210.34%,-150.00%,9.55%
2100K18        ,-10.96%,0.29%,3.32%
2101B          ,253.75%,86.60%,-3.07%
2101C          ,318.50%,-5.66%,43.16%
2101D          ,251.94%,-22.18%,16.65%
2101E          ,1301.27%,-11.63%,573.67%
2101G          ,-12.21%,61.52%,6.41%
2101I          ,463.04%,54.74%,3.32%
2101K          ,-16.62%,-9.09%,0.61%
2101N          ,-0.90%,7.94%,3.13%
2101W          ,30.08%,69.60%,-27.25%
2108ADH10      ,250.00%,14.81%,-2.16%
21820029LNC    ,2.56%,-100.00%,3.85%
21820029RNC    ,2.50%,-233.33%,4.35%
22520024LNC    ,1.89%,4.35%,25.84%
22520024RNC    ,5.66%,6.52%,325.00%
22520026LNC    ,-7.94%,-4.55%,0.91%
22520026RNC    ,5.17%,-14.47%,2.78%
22520031RNC    ,-3.23%,-100.00%,-2.33%
22520033LNC    ,-7.07%,104.88%,17.39%
22520033RNC    ,-7.45%,43.86%,18.18%
23420026LNC    ,370.00%,-48.53%,-0.46%
23420030LNC    ,3.03%,-51.61%,1.02%
23420037LNC    ,-100.00%,-5.26%,18.75%
23420037RNC    ,-100.00%,-6.45%,17.86%
24320029LNC    ,15.38%,2.99%,-35.00%
